,City Name,Cloud density,Lat,Lng,Country,Date,Humidity,Max Tempture,Wind Speed
285,hithadhoo,100,-0.6,73.08,MV,1595306849,76,84.18,8.93
286,nagorsk,100,59.32,50.81,RU,1595306849,93,59.02,9.19
287,hasaki,75,35.73,140.83,JP,1595306849,88,82.0,9.17
288,mathbaria,97,22.29,89.96,BD,1595306849,81,83.01,14.41
289,ngunguru,45,-35.62,174.5,NZ,1595306849,3,55.99,8.99
290,manikpur,100,25.07,81.12,IN,1595306850,58,90.86,14.32
291,marquette,0,46.53,-87.63,US,1595306850,91,53.01,3.51
292,bestobe,90,52.5,73.1,KZ,1595306850,58,71.85,15.1
293,porto novo,40,6.5,2.6,BJ,1595306850,94,77.0,8.05
294,zilair,0,52.23,57.44,RU,1595306850,57,72.91,4.68
295,anchorage,40,61.22,-149.9,US,1595306851,56,69.8,5.82
296,carbonia,5,39.17,8.52,IT,1595306851,88,73.0,2.24
297,chegutu,2,-18.13,30.14,ZW,1595306851,89,46.31,6.29
298,latung,8,5.5,120.88,PH,1595306851,70,84.58,7.78
299,daru,61,-9.08,143.21,PG,1595306851,81,79.43,14.65
300,menongue,0,-14.66,17.69,AO,1595306851,68,43.88,5.1
301,gat,1,31.61,34.76,IL,1595306851,65,79.0,3.15
302,kavaratti,75,10.57,72.64,IN,1595306852,79,84.2,13.87
303,merauke,68,-8.47,140.33,ID,1595306852,78,79.72,16.37
304,bontang,89,0.13,117.5,ID,1595306852,74,83.17,2.8
305,havoysund,20,71.0,24.66,NO,1595306849,93,53.6,13.87
306,belmonte,75,-15.86,-38.88,BR,1595306853,73,75.2,9.17
307,baghmara,100,23.8,86.21,IN,1595306853,60,89.19,7.9
308,flinders,5,-34.58,150.86,AU,1595306853,41,60.01,9.17
309,marawi,52,8.0,124.29,PH,1595306853,83,81.0,5.99
310,aswan,0,24.09,32.91,EG,1595306854,19,91.72,15.68
311,luganville,40,-15.53,167.17,VU,1595306854,57,78.8,4.7
312,saint-georges,20,12.06,-61.75,GD,1595306854,88,80.6,14.99
313,tautira,20,-17.73,-149.15,PF,1595306854,74,78.8,6.93
314,victoria point,100,-27.58,153.3,AU,1595306854,52,69.01,11.01
315,makat,58,47.65,53.35,KZ,1595306854,22,92.26,12.8
316,augusto correa,3,-1.02,-46.63,BR,1595306854,96,71.26,1.36
317,oktyabrskoye,1,43.06,44.74,RU,1595306855,53,77.0,11.18
318,weligama,100,5.97,80.42,LK,1595306855,71,84.2,4.68
319,tuatapere,84,-46.13,167.68,NZ,1595306855,89,46.99,10.4
320,boende,2,-0.22,20.87,CD,1595306855,80,68.7,2.19
321,vigeland,30,58.08,7.3,NO,1595306855,74,54.0,14.0
322,sao miguel do araguaia,0,-13.28,-50.16,BR,1595306855,48,65.75,5.14
323,atambua,100,-9.11,124.89,ID,1595306856,47,82.92,1.16
324,watertown,1,42.37,-71.18,US,1595306856,57,81.0,4.7
325,arroyo,0,41.61,-4.8,ES,1595306856,87,63.0,9.17
326,eyl,69,7.98,49.82,SO,1595306856,42,84.18,35.41
327,manzhouli,63,49.6,117.43,CN,1595306856,37,73.49,14.83
328,chokurdakh,58,70.63,147.92,RU,1595306832,30,84.16,14.34
329,nuevo emperador,100,9.0,-79.73,PA,1595306857,88,77.0,2.24
330,santa isabel do rio negro,96,-0.41,-65.02,BR,1595306857,93,72.41,1.95
331,sao filipe,41,14.9,-24.5,CV,1595306857,81,75.79,10.36
332,nanortalik,68,60.14,-45.24,GL,1595306857,62,47.73,2.04
333,sayan,0,-11.14,-77.19,PE,1595306857,60,58.73,0.31
334,torres,10,-29.34,-49.73,BR,1595306857,85,63.77,3.6
335,kirakira,31,-10.45,161.92,SB,1595306858,69,80.53,10.45
336,chapais,75,49.78,-74.85,CA,1595306858,93,51.8,8.05
337,buala,63,-8.14,159.59,SB,1595306858,80,82.0,11.65
338,golkoy,75,40.69,37.62,TR,1595306858,65,78.8,11.41
339,naron,90,43.52,-8.15,ES,1595306858,82,64.4,9.17
340,fare,65,-16.7,-151.02,PF,1595306858,80,77.74,24.16
341,korla,76,41.76,86.15,CN,1595306859,77,71.01,2.53
342,high level,75,58.52,-117.14,CA,1595306859,77,68.0,2.24
343,avera,1,33.19,-82.53,US,1595306858,69,80.6,4.7
344,romny,8,50.75,33.47,UA,1595306859,74,66.69,6.69
345,beloha,0,-25.17,45.05,MG,1595306859,67,60.46,8.3
346,hamilton,75,39.18,-84.53,US,1595306723,78,78.01,4.56
347,paamiut,100,61.99,-49.67,GL,1595306859,67,47.77,5.61
348,ulcinj,0,41.93,19.22,ME,1595306859,56,71.6,2.24
349,nabire,72,-3.37,135.48,ID,1595306859,65,85.75,5.14
350,mildura,80,-34.2,142.15,AU,1595306859,58,55.4,5.82
351,kaabong,61,3.48,34.15,UG,1595306860,78,63.66,7.9
352,zheleznodorozhnyy,75,55.75,38.0,RU,1595306601,100,61.0,6.71
353,vallenar,62,-28.57,-70.76,CL,1595306860,56,54.9,0.4
354,banda aceh,100,5.56,95.32,ID,1595306860,71,84.07,3.31
355,gao,81,16.64,1.64,ML,1595306860,55,83.08,13.06
356,odweyne,89,9.41,45.06,SO,1595306861,57,71.38,25.37
357,orgita,98,58.92,24.45,EE,1595306861,99,64.0,2.17
358,golovino,100,55.96,40.43,RU,1595306861,98,58.03,7.2
359,cortez,1,37.35,-108.59,US,1595306861,42,70.0,3.36
360,belyy yar,40,53.6,91.39,RU,1595306861,50,77.0,2.24
361,luderitz,0,-26.65,15.16,NA,1595306861,34,59.0,8.05
362,beringovskiy,70,63.05,179.32,RU,1595306861,75,46.87,7.7
363,ilam,100,26.92,87.92,NP,1595306861,90,69.44,0.45
364,athabasca,100,54.72,-113.29,CA,1595306862,83,59.5,0.74
365,kapoeta,21,4.77,33.59,SS,1595306862,74,74.12,2.53
366,petropavlovsk-kamchatskiy,75,53.05,158.65,RU,1595306628,77,60.8,13.42
367,ojhar,96,20.1,73.93,IN,1595306862,77,79.83,10.58
368,husavik,75,66.04,-17.34,IS,1595306862,93,42.8,2.01
369,kruisfontein,0,-34.0,24.73,ZA,1595306862,91,51.26,6.11
370,yumen,100,40.28,97.2,CN,1595306862,19,85.21,11.59
371,nowy dwor mazowiecki,75,52.43,20.72,PL,1595306862,100,63.0,6.93
372,bairiki,75,1.33,172.98,KI,1595306863,74,84.2,3.36
373,saint-dizier,0,48.42,5.08,FR,1595306863,67,57.2,1.12
374,havelock,1,34.88,-76.9,US,1595306863,44,84.0,4.7
375,challapata,77,-18.9,-66.77,BO,1595306863,51,43.03,4.12
376,isangel,40,-19.55,169.27,VU,1595306863,65,77.0,9.17
377,keningau,20,5.34,116.16,MY,1595306863,75,89.6,6.93
378,pisco,0,-13.7,-76.22,PE,1595306864,87,55.99,4.7
379,iskateley,0,67.68,53.15,RU,1595306864,53,69.71,7.36
380,esmeraldas,75,-19.76,-44.31,BR,1595306864,72,64.4,2.24
381,talakan,5,50.32,130.37,RU,1595306864,45,78.62,8.75
382,guerrero negro,0,27.98,-114.06,MX,1595306658,73,68.92,12.48
383,sola,99,-13.88,167.55,VU,1595306634,68,76.75,14.09
384,contai,100,21.78,87.75,IN,1595306865,79,84.87,13.31
385,amurzet,0,47.7,131.1,RU,1595306865,62,80.2,9.46
386,fougamou,87,-1.22,10.58,GA,1595306865,92,68.41,0.6
387,liverpool,12,53.41,-2.98,GB,1595306632,93,50.0,4.7
388,ahipara,8,-35.17,173.17,NZ,1595306865,77,56.79,13.58
389,rehau,82,50.25,12.03,DE,1595306865,91,57.0,5.82
390,carutapera,3,-1.2,-46.02,BR,1595306865,91,73.09,3.2
391,kokkola,99,63.84,23.13,FI,1595306866,88,63.0,5.82
392,nanzhang,100,31.78,111.84,CN,1595306866,92,75.09,5.12
393,rafraf,0,37.19,10.18,TN,1595306866,72,68.0,3.36
394,kenai,1,60.55,-151.26,US,1595306866,56,68.0,14.99
395,halifax,33,44.65,-63.57,CA,1595306744,91,68.0,7.36
396,riyadh,81,24.69,46.72,SA,1595306722,12,96.8,10.29
397,kemijarvi,67,66.71,27.43,FI,1595306866,80,65.97,5.55
398,baikunthpur,99,23.25,82.55,IN,1595306866,86,76.84,10.85
399,carballo,90,43.21,-8.69,ES,1595306867,82,64.4,9.17
400,ambilobe,23,-13.2,49.05,MG,1595306867,52,72.82,4.56
401,aquiraz,75,-3.9,-38.39,BR,1595306867,94,73.4,5.82
402,abbotsford,40,49.06,-122.25,CA,1595306807,73,71.6,8.05
403,port huron,40,42.97,-82.42,US,1595306867,77,68.0,5.82
404,san jose,20,37.34,-121.89,US,1595306648,77,64.4,8.05
405,mae sai,75,20.43,99.88,TH,1595306867,88,78.8,4.7
406,chifeng,96,42.27,118.96,CN,1595306867,32,90.72,9.01
407,gulfport,1,30.37,-89.09,US,1595306602,83,84.0,3.36
408,bonfim,74,3.08,-59.95,BR,1595306868,88,74.53,1.63
409,oskarshamn,0,57.26,16.45,SE,1595306868,88,55.0,5.99
410,samana,8,19.21,-69.34,DO,1595306868,87,78.28,8.7
411,axim,89,4.87,-2.24,GH,1595306868,92,74.91,4.38
412,karasjok,90,69.47,25.51,NO,1595306868,93,53.6,2.24
413,doaba,40,33.42,70.74,PK,1595306869,51,82.63,7.14
414,frolovo,32,49.77,43.66,RU,1595306869,54,73.0,1.99
415,lata,89,40.16,-8.33,PT,1595306869,68,72.0,4.0
416,pangnirtung,78,66.15,-65.71,CA,1595306869,73,49.82,2.53
417,lagoa,0,39.05,-27.98,PT,1595306869,70,68.05,2.46
418,eslov,62,55.84,13.3,SE,1595306705,82,57.99,8.05
419,saint george,1,37.1,-113.58,US,1595306652,12,96.8,9.17
420,copiapo,100,-27.37,-70.33,CL,1595306870,93,50.0,0.63
421,griffith,1,41.53,-87.42,US,1595306591,83,75.2,3.36
422,berlevag,100,70.86,29.09,NO,1595306870,87,55.4,5.82
423,sika,75,13.35,-16.34,GM,1595306870,100,75.2,10.8
424,thompson,75,55.74,-97.86,CA,1595306857,82,59.0,2.24
425,nalut,0,30.33,10.85,LY,1595306870,72,69.21,13.8
426,zhanakorgan,0,43.91,67.25,KZ,1595306870,12,98.28,11.86
427,novovarshavka,58,54.17,74.69,RU,1595306870,66,66.54,12.28
428,bilibino,33,68.05,166.44,RU,1595306871,27,75.83,4.76
429,katsuura,75,35.13,140.3,JP,1595306871,88,82.0,6.93
430,turhal,20,40.39,36.08,TR,1595306871,68,71.6,4.7
431,monteagudo,91,-19.82,-63.98,BO,1595306871,80,61.41,2.1
432,ixtapa,40,20.7,-105.2,MX,1595306871,79,84.2,3.36
433,abu samrah,0,35.3,37.18,SY,1595306871,47,80.64,14.03
434,san ramon,1,37.78,-121.98,US,1595306618,55,64.99,10.29
435,bose,0,45.46,8.01,IT,1595306872,77,72.0,1.99
436,rio grande,100,-32.03,-52.1,BR,1595306682,84,66.0,8.9
437,katima mulilo,0,-17.5,24.27,NA,1595306872,80,35.6,1.12
438,marsh harbour,90,26.54,-77.06,BS,1595306872,81,82.35,15.5
439,pandan,100,14.05,124.17,PH,1595306872,76,85.64,7.61
440,pinar del rio,69,22.42,-83.7,CU,1595306872,86,76.77,3.83
441,veshenskaya,0,49.63,41.73,RU,1595306872,57,72.05,4.32
442,abong mbang,100,3.98,13.18,CM,1595306873,98,66.7,2.86
443,ahuimanu,75,21.44,-157.84,US,1595306873,62,84.2,12.75
444,los llanos de aridane,90,28.66,-17.92,ES,1595306873,73,71.6,20.8
445,wuwei,46,37.93,102.64,CN,1595306873,32,90.0,1.99
446,iralaya,58,15.0,-83.23,HN,1595306873,83,80.26,6.62
447,broome,1,42.25,-75.83,US,1595306645,64,69.8,4.7
448,geraldton,0,-28.77,114.6,AU,1595306873,52,69.8,21.92
449,muros,7,42.78,-9.06,ES,1595306874,76,66.99,5.01
450,port keats,12,-14.25,129.55,AU,1595306874,24,87.93,5.86
451,shenjiamen,93,29.96,122.3,CN,1595306874,86,80.85,15.79
452,port-cartier,20,50.03,-66.87,CA,1595306874,68,66.0,9.17
453,the valley,20,18.22,-63.06,AI,1595306874,74,84.2,8.05
454,buraydah,5,26.33,43.98,SA,1595306874,27,86.0,2.24
455,nkayi,10,-4.18,13.29,CG,1595306874,85,69.64,2.77
456,mumford,99,5.26,-0.76,GH,1595306874,94,74.37,7.16
457,karratha,0,-20.74,116.85,AU,1595306808,30,78.17,13.67
458,luang prabang,75,19.89,102.13,LA,1595306875,55,86.0,6.93
459,west plains,1,36.73,-91.85,US,1595306875,78,79.0,4.7
460,zhangye,94,38.93,100.45,CN,1595306875,13,88.63,11.63
461,golden,20,39.76,-105.22,US,1595306722,44,75.2,4.7
462,saint-ambroise,40,48.55,-71.33,CA,1595306875,77,59.0,9.17
463,antsohihy,0,-14.88,47.99,MG,1595306875,54,73.4,10.65
464,sioux lookout,20,50.1,-91.92,CA,1595306720,87,53.6,2.24
465,moscow,75,55.75,37.62,RU,1595306746,100,61.0,4.47
466,vestmanna,38,62.16,-7.17,FO,1595306875,93,46.4,4.7
467,wheatley,0,51.75,-1.14,GB,1595306875,93,46.99,1.12
468,sopron,0,47.69,16.59,HU,1595306875,93,62.01,3.36
469,ndjole,99,-0.18,10.76,GA,1595306876,90,70.75,1.74
470,callaguip,0,18.07,120.49,PH,1595306876,68,85.96,7.25
471,arenapolis,48,-14.45,-56.85,BR,1595306876,50,69.31,4.47
472,kayerkan,75,69.35,87.76,RU,1595306876,100,51.8,17.9
473,dunedin,50,-45.87,170.5,NZ,1595306707,45,59.0,1.01
474,balikpapan,40,-1.27,116.83,ID,1595306876,94,82.4,8.05
475,tevriz,0,57.51,72.4,RU,1595306877,49,68.65,10.85
476,ayna,0,-12.65,-73.92,PE,1595306877,58,57.92,3.0
477,mabaruma,91,8.2,-59.78,GY,1595306877,91,76.03,3.67
478,ahuachapan,99,13.92,-89.84,SV,1595306877,94,71.01,0.27
479,ushtobe,67,45.25,77.98,KZ,1595306877,20,92.88,13.47
480,fredericton,1,45.95,-66.67,CA,1595306877,82,71.6,3.36
481,balaipungut,40,1.05,101.28,ID,1595306877,66,86.0,11.41
482,mukhen,100,48.1,136.1,RU,1595306878,90,69.4,4.07
483,waitati,53,-45.75,170.57,NZ,1595306878,61,59.0,5.01
484,salalah,90,17.02,54.09,OM,1595306878,94,80.6,2.24
485,paita,54,-5.09,-81.11,PE,1595306878,85,61.61,9.62
486,sokoni,15,-6.43,39.55,TZ,1595306879,74,76.69,16.55
487,nyurba,100,63.28,118.33,RU,1595306879,98,61.65,2.82
488,pudozh,100,61.81,36.53,RU,1595306879,61,65.93,4.14
489,rio gallegos,75,-51.62,-69.22,AR,1595306879,100,14.0,2.24
490,christchurch,15,-43.53,172.63,NZ,1595306879,47,59.0,6.93
491,fukue,75,32.69,128.84,JP,1595306879,89,84.2,11.41
492,ardakan,0,32.31,54.02,IR,1595306879,19,86.0,4.7
493,birao,27,10.28,22.79,CF,1595306879,93,69.46,3.42
494,sabya,100,17.15,42.63,SA,1595306880,59,89.6,9.17
495,paraiso,40,9.84,-83.87,CR,1595306880,100,69.8,3.36
496,tuktoyaktuk,90,69.45,-133.04,CA,1595306880,80,41.0,12.75
497,camrose,61,53.02,-112.84,CA,1595306880,71,64.0,6.22
498,bac lieu,100,9.29,105.72,VN,1595306669,60,88.02,6.98
499,yenagoa,98,4.92,6.26,NG,1595306880,91,74.37,6.53
500,saint-francois,65,46.42,3.91,FR,1595306880,72,66.99,2.24
501,namibe,0,-15.2,12.15,AO,1595306880,61,64.67,5.21
502,abay,33,49.63,72.85,KZ,1595306881,57,75.2,11.18
503,montepuez,94,-13.13,39.0,MZ,1595306881,71,63.1,9.69
504,lamu,49,-2.27,40.9,KE,1595306881,77,77.45,18.61
505,sao geraldo do araguaia,26,-6.4,-48.55,BR,1595306881,52,71.62,1.83
506,bredy,59,52.42,60.34,RU,1595306881,81,67.55,8.99
507,itoman,20,26.12,127.67,JP,1595306881,84,89.6,3.36
508,akyab,100,20.15,92.9,MM,1595306881,84,81.36,11.61
509,olga,94,43.74,135.29,RU,1595306881,68,76.57,3.38
510,cayenne,73,4.93,-52.33,GF,1595306833,100,75.2,3.36
511,leningradskiy,0,69.38,178.42,RU,1595306882,63,47.34,11.34
512,solnechnyy,100,50.72,136.63,RU,1595306882,95,64.58,3.6
513,jibuti,1,11.5,42.5,DJ,1595306882,41,91.4,8.05
514,auki,50,-8.77,160.7,SB,1595306882,80,81.55,10.09
515,kalanguy,93,51.02,116.52,RU,1595306882,51,64.42,16.33
516,henties bay,0,-22.12,14.28,NA,1595306882,48,60.01,8.43
517,yerbogachen,77,61.28,108.01,RU,1595306882,46,66.87,9.93
518,oranjestad,20,12.52,-70.03,AW,1595306708,83,82.4,23.04
519,tilichiki,48,60.47,166.1,RU,1595306883,63,56.86,8.23
520,gorontalo,5,0.54,123.06,ID,1595306883,71,85.35,4.83
521,jagdalpur,100,19.07,82.03,IN,1595306883,70,83.71,12.19
522,lavrentiya,100,65.58,-171.0,RU,1595306883,78,46.36,2.44
523,da lat,85,11.95,108.44,VN,1595306707,90,71.31,3.53
524,ciudad bolivar,95,8.12,-63.55,VE,1595306883,85,77.11,7.96
525,kalmunai,100,7.42,81.82,LK,1595306883,64,86.47,6.38
526,isla mujeres,20,21.23,-86.73,MX,1595306883,78,82.99,8.55
527,upington,0,-28.45,21.26,ZA,1595306884,28,46.4,6.93
528,vestmannaeyjar,46,63.44,-20.27,IS,1595306884,69,49.08,1.86
529,wanxian,100,30.8,108.39,CN,1595306884,81,78.06,6.89
530,huaraz,0,-9.53,-77.53,PE,1595306884,49,50.0,5.03
531,palana,13,59.12,159.97,RU,1595306884,57,58.3,11.92
532,toktogul,39,41.87,72.94,KG,1595306884,51,70.59,2.17
533,araouane,83,18.9,-3.53,ML,1595306884,36,91.35,17.0
534,waldheim,71,51.07,13.02,DE,1595306884,87,60.01,2.39
535,springdale,1,36.19,-94.13,US,1595306884,65,80.6,5.82
536,blagoyevo,0,63.37,47.92,RU,1595306885,59,64.76,7.56
537,antalaha,16,-14.9,50.28,MG,1595306885,81,69.33,8.84
538,djambala,1,-2.54,14.75,CG,1595306885,87,66.09,3.33
539,nantucket,1,41.28,-70.1,US,1595306885,94,73.4,10.29
540,viedma,94,-40.81,-63.0,AR,1595306885,90,46.99,1.99
541,corrente,76,-3.74,-43.34,BR,1595306885,73,73.63,1.99
542,nhulunbuy,75,-12.23,136.77,AU,1595306885,61,80.6,14.99
543,san cristobal,100,7.77,-72.22,VE,1595306885,86,65.03,3.8
544,ust-nera,19,64.57,143.2,RU,1595306886,37,82.83,4.03
545,staryy nadym,100,65.61,72.68,RU,1595306886,70,57.63,10.42
546,sorland,100,67.67,12.69,NO,1595306886,76,53.6,2.24
547,ketchikan,90,55.34,-131.65,US,1595306886,100,57.2,5.82
548,nichinan,40,31.6,131.37,JP,1595306886,56,95.0,10.29
549,hovd,100,48.01,91.64,MN,1595306887,31,79.93,5.5
550,rawson,99,-43.3,-65.1,AR,1595306887,79,44.29,16.33
551,urazovo,0,50.08,38.04,RU,1595306887,67,68.65,5.66
552,sheltozero,100,61.37,35.37,RU,1595306887,68,65.53,4.07
553,otavi,0,-19.65,17.33,NA,1595306887,49,48.6,8.86
554,svetlogorsk,5,52.63,29.73,BY,1595306887,79,65.89,5.64
555,tuy hoa,68,13.08,109.3,VN,1595306888,55,89.96,7.76
556,kristiinankaupunki,64,62.27,21.38,FI,1595306888,89,62.08,7.61
557,san andres,40,12.58,-81.7,CO,1595306703,88,82.4,10.29
558,puerto madryn,82,-42.77,-65.04,AR,1595306645,84,43.81,13.87
559,sal rei,75,16.18,-22.92,CV,1595306888,78,78.8,9.17
560,naberera,93,-4.2,36.93,TZ,1595306888,84,57.47,10.6
561,veraval,19,20.9,70.37,IN,1595306888,70,85.82,11.86
562,mon,100,26.75,95.1,IN,1595306888,92,77.05,0.43
563,lensk,100,60.73,114.93,RU,1595306889,91,55.27,11.05
564,poum,77,-20.23,164.02,NC,1595306889,64,71.65,16.15
565,olinda,75,-8.01,-34.86,BR,1595306605,83,73.4,6.93
566,atar,10,20.52,-13.05,MR,1595306889,47,85.41,3.44
567,walvis bay,0,-22.96,14.51,NA,1595306889,25,62.6,10.29
568,erzin,3,36.96,36.2,TR,1595306889,74,81.0,3.31
569,dharchula,43,29.85,80.53,IN,1595306889,54,78.44,4.74
570,teacapan,85,22.55,-105.75,MX,1595306890,73,81.48,2.37
571,shimoda,75,34.67,138.95,JP,1595306890,88,79.0,1.12
572,linxia,73,35.6,103.21,CN,1595306890,43,77.09,1.61
